base_binaria,top_variables,type_encoding,sacar_pas_0,sacar_buenos_aires,minutos_retraso,balanceo,modelo,f1_score_retrasos,recal_retrasos,precision_retrasos,total_accuracy
True,True,target,True,True,15,Oversampling,Decision Tree,0.251,0.536,0.164,0.646
True,True,target,True,True,15,Smote,Decision Tree,0.243,0.436,0.169,0.7
True,True,target,True,True,15,Oversampling,Random forest,0.251,0.538,0.163,0.644
True,True,target,True,True,15,Smote,Random forest,0.245,0.446,0.169,0.695
True,True,target,True,True,15,Oversampling,XG Boost,0.265,0.566,0.173,0.652
True,True,target,True,True,15,Smote,XG Boost,0.263,0.469,0.182,0.708
True,True,target,True,True,15,Oversampling,RegresiÃ³n logÃ­stica,0.265,0.526,0.177,0.676
True,True,target,True,True,15,Oversampling,SGD,0.262,0.361,0.205,0.775
True,True,target,True,True,15,Smote,RegresiÃ³n logÃ­stica,0.264,0.529,0.176,0.674
True,True,target,True,True,15,Smote,SGD,0.262,0.36,0.205,0.774
True,True,target,True,True,30,Oversampling,Decision Tree,0.174,0.503,0.105,0.671
True,True,target,True,True,30,Smote,Decision Tree,0.167,0.372,0.108,0.744
True,True,target,True,True,30,Oversampling,Random forest,0.172,0.501,0.104,0.667
True,True,target,True,True,30,Smote,Random forest,0.17,0.382,0.109,0.743
True,True,target,True,True,30,Oversampling,XG Boost,0.199,0.563,0.121,0.687
True,True,target,True,True,30,Smote,XG Boost,0.195,0.402,0.129,0.77
True,True,target,True,True,30,Oversampling,RegresiÃ³n logÃ­stica,0.208,0.502,0.132,0.737
True,True,target,True,True,30,Oversampling,SGD,0.219,0.424,0.148,0.792
True,True,target,True,True,30,Smote,RegresiÃ³n logÃ­stica,0.208,0.501,0.131,0.737
True,True,target,True,True,30,Smote,SGD,0.219,0.424,0.148,0.792
True,True,target,True,True,60,Oversampling,Decision Tree,0.108,0.508,0.06,0.695
True,True,target,True,True,60,Smote,Decision Tree,0.106,0.281,0.066,0.829
True,True,target,True,True,60,Oversampling,Random forest,0.108,0.517,0.061,0.692
True,True,target,True,True,60,Smote,Random forest,0.108,0.288,0.066,0.827
True,True,target,True,True,60,Oversampling,XG Boost,0.119,0.536,0.067,0.714
True,True,target,True,True,60,Smote,XG Boost,0.125,0.291,0.08,0.853
True,True,target,True,True,60,Oversampling,RegresiÃ³n logÃ­stica,0.132,0.537,0.075,0.745
True,True,target,True,True,60,Oversampling,SGD,0.134,0.424,0.08,0.802
True,True,target,True,True,60,Smote,RegresiÃ³n logÃ­stica,0.132,0.539,0.075,0.742
True,True,target,True,True,60,Smote,SGD,0.134,0.424,0.08,0.802
True,True,target,True,False,15,Oversampling,Decision Tree,0.268,0.545,0.177,0.66
True,True,target,True,False,15,Smote,Decision Tree,0.263,0.456,0.185,0.709
True,True,target,True,False,15,Oversampling,Random forest,0.268,0.548,0.178,0.659
True,True,target,True,False,15,Smote,Random forest,0.267,0.469,0.186,0.706
True,True,target,True,False,15,Oversampling,XG Boost,0.291,0.576,0.195,0.68
True,True,target,True,False,15,Smote,XG Boost,0.29,0.476,0.208,0.734
True,True,target,True,False,15,Oversampling,RegresiÃ³n logÃ­stica,0.283,0.531,0.193,0.692
True,True,target,True,False,15,Oversampling,SGD,0.28,0.389,0.218,0.772
True,True,target,True,False,15,Smote,RegresiÃ³n logÃ­stica,0.282,0.532,0.192,0.691
True,True,target,True,False,15,Smote,SGD,0.279,0.389,0.218,0.771
True,True,target,True,False,30,Oversampling,Decision Tree,0.187,0.487,0.116,0.696
True,True,target,True,False,30,Smote,Decision Tree,0.184,0.372,0.122,0.762
True,True,target,True,False,30,Oversampling,Random forest,0.187,0.489,0.115,0.694
True,True,target,True,False,30,Smote,Random forest,0.184,0.377,0.122,0.76
True,True,target,True,False,30,Oversampling,XG Boost,0.199,0.554,0.122,0.68
True,True,target,True,False,30,Smote,XG Boost,0.207,0.375,0.143,0.793
True,True,target,True,False,30,Oversampling,RegresiÃ³n logÃ­stica,0.213,0.489,0.136,0.74
True,True,target,True,False,30,Oversampling,SGD,0.219,0.423,0.148,0.783
True,True,target,True,False,30,Smote,RegresiÃ³n logÃ­stica,0.213,0.492,0.136,0.739
True,True,target,True,False,30,Smote,SGD,0.219,0.423,0.148,0.783
True,True,target,True,False,60,Oversampling,Decision Tree,0.112,0.475,0.063,0.711
True,True,target,True,False,60,Smote,Decision Tree,0.097,0.257,0.06,0.817
True,True,target,True,False,60,Oversampling,Random forest,0.111,0.474,0.063,0.708
True,True,target,True,False,60,Smote,Random forest,0.097,0.259,0.06,0.816
True,True,target,True,False,60,Oversampling,XG Boost,0.128,0.544,0.073,0.717
True,True,target,True,False,60,Smote,XG Boost,0.125,0.273,0.081,0.853
True,True,target,True,False,60,Oversampling,RegresiÃ³n logÃ­stica,0.142,0.521,0.082,0.759
True,True,target,True,False,60,Oversampling,SGD,0.142,0.444,0.084,0.794
True,True,target,True,False,60,Smote,RegresiÃ³n logÃ­stica,0.143,0.524,0.083,0.759
True,True,target,True,False,60,Smote,SGD,0.142,0.447,0.084,0.793
True,True,target,False,True,15,Oversampling,Decision Tree,0.25,0.532,0.164,0.647
True,True,target,False,True,15,Smote,Decision Tree,0.243,0.436,0.169,0.7
True,True,target,False,True,15,Oversampling,Random forest,0.251,0.537,0.164,0.645
True,True,target,False,True,15,Smote,Random forest,0.245,0.446,0.169,0.695
True,True,target,False,True,15,Oversampling,XG Boost,0.266,0.569,0.173,0.652
True,True,target,False,True,15,Smote,XG Boost,0.263,0.469,0.182,0.708
True,True,target,False,True,15,Oversampling,RegresiÃ³n logÃ­stica,0.265,0.529,0.177,0.675
True,True,target,False,True,15,Oversampling,SGD,0.262,0.361,0.206,0.775
True,True,target,False,True,15,Smote,RegresiÃ³n logÃ­stica,0.264,0.529,0.176,0.674
True,True,target,False,True,15,Smote,SGD,0.262,0.36,0.205,0.774
True,True,target,False,True,30,Oversampling,Decision Tree,0.174,0.512,0.105,0.664
True,True,target,False,True,30,Smote,Decision Tree,0.167,0.372,0.108,0.744
True,True,target,False,True,30,Oversampling,Random forest,0.174,0.513,0.105,0.663
True,True,target,False,True,30,Smote,Random forest,0.17,0.382,0.109,0.743
True,True,target,False,True,30,Oversampling,XG Boost,0.197,0.567,0.119,0.681
True,True,target,False,True,30,Smote,XG Boost,0.195,0.402,0.129,0.77
True,True,target,False,True,30,Oversampling,RegresiÃ³n logÃ­stica,0.208,0.501,0.131,0.736
True,True,target,False,True,30,Oversampling,SGD,0.219,0.424,0.148,0.792
True,True,target,False,True,30,Smote,RegresiÃ³n logÃ­stica,0.208,0.501,0.131,0.737
True,True,target,False,True,30,Smote,SGD,0.219,0.424,0.148,0.792
True,True,target,False,True,60,Oversampling,Decision Tree,0.108,0.515,0.061,0.694
True,True,target,False,True,60,Smote,Decision Tree,0.106,0.281,0.066,0.829
True,True,target,False,True,60,Oversampling,Random forest,0.109,0.517,0.061,0.694
True,True,target,False,True,60,Smote,Random forest,0.108,0.288,0.066,0.827
True,True,target,False,True,60,Oversampling,XG Boost,0.119,0.54,0.067,0.712
True,True,target,False,True,60,Smote,XG Boost,0.125,0.291,0.08,0.853
True,True,target,False,True,60,Oversampling,RegresiÃ³n logÃ­stica,0.132,0.537,0.075,0.745
True,True,target,False,True,60,Oversampling,SGD,0.134,0.424,0.08,0.802
True,True,target,False,True,60,Smote,RegresiÃ³n logÃ­stica,0.132,0.539,0.075,0.742
True,True,target,False,True,60,Smote,SGD,0.134,0.424,0.08,0.802
True,True,target,False,False,15,Oversampling,Decision Tree,0.269,0.545,0.178,0.661
True,True,target,False,False,15,Smote,Decision Tree,0.263,0.456,0.185,0.709
True,True,target,False,False,15,Oversampling,Random forest,0.269,0.55,0.178,0.66
True,True,target,False,False,15,Smote,Random forest,0.267,0.469,0.186,0.706
True,True,target,False,False,15,Oversampling,XG Boost,0.291,0.569,0.196,0.684
True,True,target,False,False,15,Smote,XG Boost,0.29,0.476,0.208,0.734
True,True,target,False,False,15,Oversampling,RegresiÃ³n logÃ­stica,0.283,0.527,0.193,0.695
True,True,target,False,False,15,Oversampling,SGD,0.28,0.389,0.218,0.772
True,True,target,False,False,15,Smote,RegresiÃ³n logÃ­stica,0.282,0.532,0.192,0.691
True,True,target,False,False,15,Smote,SGD,0.279,0.389,0.218,0.771
True,True,target,False,False,30,Oversampling,Decision Tree,0.185,0.499,0.114,0.684
True,True,target,False,False,30,Smote,Decision Tree,0.184,0.372,0.122,0.762
True,True,target,False,False,30,Oversampling,Random forest,0.184,0.5,0.113,0.681
True,True,target,False,False,30,Smote,Random forest,0.184,0.377,0.122,0.76
True,True,target,False,False,30,Oversampling,XG Boost,0.203,0.547,0.125,0.692
True,True,target,False,False,30,Smote,XG Boost,0.207,0.375,0.143,0.793
True,True,target,False,False,30,Oversampling,RegresiÃ³n logÃ­stica,0.212,0.491,0.136,0.738
True,True,target,False,False,30,Oversampling,SGD,0.219,0.423,0.148,0.784
True,True,target,False,False,30,Smote,RegresiÃ³n logÃ­stica,0.213,0.492,0.136,0.739
True,True,target,False,False,30,Smote,SGD,0.219,0.423,0.148,0.783
True,True,target,False,False,60,Oversampling,Decision Tree,0.108,0.477,0.061,0.699
True,True,target,False,False,60,Smote,Decision Tree,0.097,0.257,0.06,0.817
True,True,target,False,False,60,Oversampling,Random forest,0.108,0.476,0.061,0.699
True,True,target,False,False,60,Smote,Random forest,0.097,0.259,0.06,0.816
True,True,target,False,False,60,Oversampling,XG Boost,0.129,0.56,0.073,0.709
True,True,target,False,False,60,Smote,XG Boost,0.125,0.273,0.081,0.853
True,True,target,False,False,60,Oversampling,RegresiÃ³n logÃ­stica,0.142,0.52,0.082,0.76
True,True,target,False,False,60,Oversampling,SGD,0.142,0.447,0.085,0.793
True,True,target,False,False,60,Smote,RegresiÃ³n logÃ­stica,0.143,0.524,0.083,0.759
True,True,target,False,False,60,Smote,SGD,0.142,0.447,0.084,0.793
True,True,label,True,True,15,Oversampling,Decision Tree,0.254,0.54,0.166,0.647
True,True,label,True,True,15,Smote,Decision Tree,0.242,0.446,0.166,0.69
True,True,label,True,True,15,Oversampling,Random forest,0.253,0.543,0.165,0.646
True,True,label,True,True,15,Smote,Random forest,0.245,0.456,0.167,0.688
True,True,label,True,True,15,Oversampling,XG Boost,0.269,0.565,0.177,0.66
True,True,label,True,True,15,Smote,XG Boost,0.264,0.473,0.183,0.708
True,True,label,True,True,15,Oversampling,RegresiÃ³n logÃ­stica,0.243,0.414,0.172,0.714
True,True,label,True,True,15,Oversampling,SGD,0.231,0.298,0.189,0.78
True,True,label,True,True,15,Smote,RegresiÃ³n logÃ­stica,0.243,0.414,0.172,0.714
True,True,label,True,True,15,Smote,SGD,0.231,0.298,0.189,0.78
True,True,label,True,True,30,Oversampling,Decision Tree,0.179,0.511,0.109,0.677
True,True,label,True,True,30,Smote,Decision Tree,0.172,0.385,0.111,0.744
True,True,label,True,True,30,Oversampling,Random forest,0.178,0.513,0.107,0.672
True,True,label,True,True,30,Smote,Random forest,0.175,0.395,0.112,0.743
True,True,label,True,True,30,Oversampling,XG Boost,0.196,0.549,0.119,0.689
True,True,label,True,True,30,Smote,XG Boost,0.197,0.411,0.129,0.768
True,True,label,True,True,30,Oversampling,RegresiÃ³n logÃ­stica,0.19,0.462,0.119,0.727
True,True,label,True,True,30,Oversampling,SGD,0.196,0.349,0.137,0.803
True,True,label,True,True,30,Smote,RegresiÃ³n logÃ­stica,0.191,0.458,0.121,0.732
True,True,label,True,True,30,Smote,SGD,0.196,0.349,0.137,0.803
True,True,label,True,True,60,Oversampling,Decision Tree,0.11,0.515,0.061,0.698
True,True,label,True,True,60,Smote,Decision Tree,0.105,0.296,0.064,0.818
True,True,label,True,True,60,Oversampling,Random forest,0.109,0.515,0.061,0.697
True,True,label,True,True,60,Smote,Random forest,0.107,0.304,0.065,0.816
True,True,label,True,True,60,Oversampling,XG Boost,0.119,0.533,0.067,0.715
True,True,label,True,True,60,Smote,XG Boost,0.127,0.305,0.08,0.849
True,True,label,True,True,60,Oversampling,RegresiÃ³n logÃ­stica,0.121,0.494,0.069,0.74
True,True,label,True,True,60,Oversampling,SGD,0.127,0.366,0.077,0.817
True,True,label,True,True,60,Smote,RegresiÃ³n logÃ­stica,0.12,0.489,0.068,0.74
